EntrepriseName,EntrepriseVille,EntrepriseTechnologie,EntrepriseContactSiteWeb,EntrepriseContactPhone,EntrepriseContactName,EntrepriseContactEmail,EntrepriseLogo,Activite,EntrepriseSecteurActivite
PIXELWEB,Casablanca,,https://pixelweb.ma/,+212 6 66 80 88 50,Tarik Leghnimi Elidrissi,contact@pixelweb.ma,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0681v00000Lj4aIAAR,"<p><span style=""font-size: 14px;"">Nous sommes une équipe de développeurs; graphistes; designers; webmasters et rédacteurs qui sont à votre disposition pour tout démarrage d’une activité, nous vous assistons tout au long de votre parcours et établir un climat de confiance et d’échange qui rendra notre collaboration solide et fructueuse.</span></p>",DEVELOPPEMENT INFORMATIQUE;E-COMMERCE;MARKETING DIGITAL
LBA Factory,Rabat,TECHNOLOGIE WEB / MOBILE,https://www.lbafactory.com/,+212708051011,Fouzi BENTOUNSI,bnfouzi@gmail.com,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0681v00000YMbXxAAL,"<p><span style=""font-size: 14px;"">LBA FACTORY est une Agence offshore digitale, experte en open source, drupal, prestashop et développement des applications web et mobile </span></p>",DEVELOPPEMENT INFORMATIQUE
Precision Systems,Casablanca,CLOUD;DATA,https://precisionsystems.ma/,0661689964,Radouane Mastouri,contact@precision.ma,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0681v00000abFXlAAM,"<p>Nous concevons des technologies retails &amp; médicales essentielles pour rendre la pratique plus informée, personnalisée et interactive.</p><p>Chez <span style=""font-family: inherit;"">Precision</span> Systems, nous sommes convaincus que la pratique du futur commence dans la philosophie du passé, où les approches personnalisées, dédiées et individuelles sont primordiales.</p><p>Notre principale préoccupation est d&#39;adapter la technologie au praticien, pas l&#39;inverse.</p>",DEVELOPPEMENT INFORMATIQUE
gest'up sarl,Casablanca,ERP / CRM,http://gest-up.com/,0649865014,Mustapha LGHABI,gestup.services@gmail.com,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0681v00000VTP1BAAX,"<p>Gest’UP est une société spécialisée dans le conseil en gestion et l’accompagnement des entreprises dans la prise des décisions opérationnelles via un système d’information décisionnel pour le pilotage opérationnel de la performance (ERP, Reporting &amp; Business Intelligence BI)</p><p><br></p>",DEVELOPPEMENT INFORMATIQUE
DevoTech,Agadir,Blockchain;DATA,www.devotech.co,06 17 31 36 77,Amine HARTY,contact@devotech.co,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0681v00000k7jUaAAI,"<p><strong>DevoTech </strong>accompagne ses clients dans leur transformation digitale.</p><p>Son métier est de comprendre les besoins et d’identifier les usages à valeur ajoutée afin de concevoir, réaliser et déployer des solutions digitales qui améliorent l’expérience des collaborateurs et des clients.</p><p>DevoTech propose à cet effet des prestations allant du conseil d’accompagnement, à l’ingénierie de conception et de développement en passant par l’exploitation et l’administration des infrastructures.</p>",DEVELOPPEMENT INFORMATIQUE
ODDNET,Casablanca,TECHNOLOGIE WEB / MOBILE,www.odd-net.com,+212 661045894,Ali Yassine BENAMARA,contact@odd-net.com,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0681v00000VVav0AAD,"<p><strong style=""font-size: 14px;""><em>We</em></strong><span style=""font-size: 14px;""> provides end-to-end Service engineering solutions to the telecommunications and global ICT industries, Employing a dynamic and personal approach, to make form ODDnet a Leading provider of telecom infrastructure and managed services in Morocco and emerging countries.</span></p><p><span style=""font-size: 14px;"">This fully integrated approach shall position ODDnet ideally to create value to MNOs, Tower Companies and Telecom Vendors, Enterprise and Government.</span></p><p><br></p><p><strong style=""font-size: 14px;""><em>Our Vision:</em></strong></p><p><span style=""font-size: 14px;"">Become the leading provider of high quality engineering services, MBB &amp; WBB technology solutions design and consultancy services, to support our Customers leveraging the power of innovation, seamlessly integrating our core competencies with our customers’ businesses, and providing cost effective solutions.</span></p>",DEVELOPPEMENT INFORMATIQUE
Onedustry Technologies SARL,Casablanca,CLOUD;TECHNOLOGIE WEB / MOBILE,http://www.onedustry-technologies.com/,0669777908,Saad ERRARHICHE,saad.errarhiche@onedustry.com,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0681v00000VUoAGAA1,<p>Onedustry Technologies is a professional Mobile application devloppement and designed innovation solution</p>,DEVELOPPEMENT INFORMATIQUE;FINTECH
COGNERP NORTH AFRICA /COGNITUS,Tanger,CLOUD;DATA;ERP / CRM;IA;IOT,https://www.cognitusconsulting.com/,+212 6 61 93 99 35,Mohamed REGHIOUI,mreghioui@cognitus.one,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0681v00000YMX79AAH,"<p><span style=""font-size: 16px;"">COGNITUS est un partenaire Gold de SAP qui construit, fournit et vend des solutions SAP. Nous proposons des services de mise en œuvre SAP et des licences de logiciels grâce à notre réseau mondial de bureaux en Amérique du Nord, en Asie, en Amérique latine et en Europe. Nous nous efforçons de fournir des produits, services et solutions durables de la plus haute qualité pour transformer votre entreprise en une entreprise intelligente et innovante. Cognitus est bien plus qu&#39;une simple entreprise de conseil ; nous sommes également vos alliés lors de votre parcours de transformation numérique. Nous vous aidons à affronter les défis actuels et futurs de front. Nous pouvons accélérer votre entreprise dans son ensemble avec nos outils agiles, résilients et bien conçus pour l&#39;avenir. Nous sommes déterminés à autonomiser les entreprises pour qu&#39;elles puissent concurrencer, croître et prospérer dans un monde en constante évolution.</span></p>",DEVELOPPEMENT INFORMATIQUE
I-City,Casablanca,IOT;ROBOTIQUE;TECHNOLOGIE WEB / MOBILE,https://i-city.io/,06 66 18 06 73,M Nabil ABDESSAMII,n.abdessamii@abatechnology.ma,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0681v0000119dhBAAQ,"<p>I-City, filiale du groupe ABA Technology, propose une solution unique dans l’espace euro-méditerranèen pour la gestion des territoires intelligents et durables à travers sa plateforme AC360 ( Always Connected 360°) unifiée, modulaire ouverte et interopérable afin de permettre une supervision globale allant de la gestion du trafic à l’éclairage public, en passant par la qualité de l’air ou la gestion des déchets.</p>",DEVELOPPEMENT INFORMATIQUE
Dinomite Studios,Tanger,Réalité Augmentée/Virtuelle;CLOUD;DATA;IA;REALITE AUGMENTEE;REALITE VIRTUELLE,www.dinomite.org,0676732203,khalil bennis,khail10dev@gmail.com,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0681v00000aYLW2AAO,"<p><span style=""font-size: 16px;"">DINOMITE STUDIOS se spécialise dans la création de jeux vidéo, le développement informatique et l&#39;import-export. Notre entreprise vise à répondre à la demande croissante sur le marché marocain en pleine évolution pour les jeux vidéo. Nous développons des jeux sérieux, combinant apprentissage, communication et enseignement avec les éléments divertissants des jeux vidéo. Notre expertise se concentre sur la création de jeux vidéo et leur conversion sur différentes plateformes (mobile, VR, AR, WEB, Desktop), avec une spécialisation dans les jeux &quot;free-to-play&quot; encourageant les joueurs à payer pour des fonctionnalités et des objets supplémentaires. DINOMITE STUDIOS est passionné par l&#39;innovation et souhaite contribuer à l&#39;expansion rapide de l&#39;industrie du jeu vidéo.</span></p>",DEVELOPPEMENT INFORMATIQUE;GAMING
Wojod,Agadir,DATA;TECHNOLOGIE WEB / MOBILE,www.wojod.fr,+33615078804,Abdelmoula Mohamed,contact@wojod.fr,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0681v00000beuPDAAY,"<p><strong>Wojod </strong>est une agence digitale d&#39;experts en stratégie, technologie, création, marketing, qui propose un accompagnement 360° sur les projets de développement d&#39;applications, E-Business, E-commerce, mobile, SAAS, marketing digital ... </p><p>L&#39;objectif de l&#39;agence est d&#39;aider ses clients, qu&#39;ils soient Start-ups, PME et grands comptes, à passer le cap de la transformation ou de l&#39;optimisation digitale.</p>",DEVELOPPEMENT INFORMATIQUE
ARIST,Casablanca,Blockchain;CLOUD;DATA;IA;IOT;RESEAU ET TELECOM ET SECURITE,www.arist.ma,+212663455353,Hassan SADALI,hassan.sadali@arist.ma,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0681v000010mDbKAAU,"<p style=""text-align: justify;""><span style=""font-family: sans-serif; font-size: 10.5pt;"">ARIST est une société </span><span style=""font-family: sans-serif;"">de services établie au Maroc spécialisée dans l’accélération de la transformation digitale dans l’ensemble des secteurs nécessite l’évolution vers une architecture applicative s’appuyant sur un mode opérationnel clair et agile et une infrastructure moderne.</span></p><p><span style=""font-family: sans-serif; font-size: 10.5pt;"">La société est spécialisée dans l’intégration des solutions de datacenter hybride et cloud computing. </span></p><p style=""text-align: justify;""><span style=""font-family: sans-serif; font-size: 10.5pt;"">ARIST accompagne ses clients dans la mise en place que les solutions intégrées tel que </span><span style=""font-family: sans-serif; font-size: 10pt;"">Openstack, Microsoft AZURE, VMware Cloud Fundation, SAP HANA et HPC.</span></p>",DEVELOPPEMENT INFORMATIQUE;CYBERSECURITE;FORMATION IT
ACAL Solutions,Casablanca,CLOUD;IA;IOT;TECHNOLOGIE WEB / MOBILE,https://acal.ma,+212610254253,ABDELAZIZ BENNOUNA,a@acal.ma,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0681v00000yY5GvAAK,"<p><span style=""font-size: 14px;"">Acal Solutions est une startup spécialisée dans les solutions pour le monde de la finance. Elle fournit des simulateurs de transactions financières, des systèmes intelligents de gestion de la fraude et des middlewares de transactions financières. Acal Solutions fournit également des solutions de paiement en marque blanche et exploite une infrastructure de paiement multicanal au Maroc. La startup propose également une plateforme d’intégration par API avec les opérateurs de réseaux d’objets intelligents afin de relier l’activation des services avec les paiements associés.</span></p>",DEVELOPPEMENT INFORMATIQUE;FINTECH
IS-TECH,Casablanca,ERP / CRM;RESEAU ET TELECOM ET SECURITE;TECHNOLOGIE WEB / MOBILE,http://www.is-tech.ma/,0663462288,LAQSOUMI OTHMANE,olaqsoumi@is-tech.ma,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0681v000013PkjaAAC,"<p>IS-TECH est une Société d&#39;intégration des systèmes et technologie dédiée au service IT. En effet, IS-TECH offre une panoplie de services :</p><p>- Intégration et développement des applications web et mobile, ainsi que la conception des sites web professionnels.</p><p>- Mise en place de solutions de sécurité électronique : vidéosurveillance, contrôle d&#39;accès, RFID , système d&#39;alarme intrusion et incendie, automatisme des portes et domotique.</p><p>- Installation de réseaux électriques en courant faible.</p><p>- Accompagnement dans le déploiement de réseaux (informatique et téléphonique).</p>",DEVELOPPEMENT INFORMATIQUE
TEC FORGE SARL,Agadir,CLOUD;DATA;IA;IOT;TECHNOLOGIE WEB / MOBILE,www.tecforge.ma,0665195112,SARA RABIB,contact@tecforge.ma,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0681v00000lXA0KAAW,"<p>TEC FORGE est une startup innovante en maitrise technologique et technologies informatiques et numériques. Elle compte à son actif 3 marques dans le domaine de technologies numériques : </p><p>- DigitParse : Spécialisée dans le secteur du développement et IT.</p><p>- PixelParse : Spécialisée dans le domaine de la communication et la création visuelle.</p><p>- LumenParse : Spécialisée dans les technologies liées à la smart city, IoT et l’éclairage connecté.</p>",DEVELOPPEMENT INFORMATIQUE
Conseil Khatim,Casablanca,ERP / CRM;TECHNOLOGIE WEB / MOBILE,http://skillsnsmartassurtech.com/,0608751763,Aymane Sninira,s.ayman@skillsnsmart.com,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0681v000013k6itAAA,"<p>Skills &amp;Smart est une Assurtech marocaine spécialisée dans l&#39;accompagnement, la digitalisation du parcours assurantiel et la création de produits d&#39;assurance affinitaire. Notre mission est d&#39;apporter une approche innovante à l&#39;industrie de l&#39;assurance, en collaborant avec des partenaires nationaux et internationaux pour concevoir des solutions d&#39;assurance personnalisées qui répondent aux besoins uniques de leurs clients.</p><p><br></p>",DEVELOPPEMENT INFORMATIQUE
Alliance Ever,Casablanca,TECHNOLOGIE WEB / MOBILE,https://allianceever.com/,+212707903000,Issam El-asri,issam.el-asri@allianceever.com,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0681v00000qX9JOAA0,"<p>Notre cabinet est conçu pour fonctionner en tant que partenaire stratégique uni par un ensemble de valeurs solides, proposons des services d&#39;ingénierie marketing B2B, développement des solutions informatiques, développement des SaaS et marketing digital pour aider nos clients à atteindre leurs objectifs. </p><p>Notre équipe de consultants, de développeurs et de spécialistes travaillent en étroite collaboration avec les clients pour personnaliser les solutions qui répondent à leurs besoins uniques. </p><p>Notre objectif est d&#39;aider les entreprises à réussir en créant un avantage concurrentiel sur leurs marchés grâce à des conseils, un soutien et une expertise ciblés.</p>",DEVELOPPEMENT INFORMATIQUE;MARKETING DIGITAL
GRAVITON SOLUTIONS,Rabat,IOT;RESEAU ET TELECOM ET SECURITE;TECHNOLOGIE WEB / MOBILE,http://www.graviton.ma,+212600063090,Taoufiq rbouh,t.rbouh@graviton.ma,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0681v00000rskxvAAA,"<p><span style=""font-size: 14px;"">GRAVITON SOLUTIONS est spécialisée dans le développement des applications web et mobile. elle a crée les solutions suivantes : TRACAGRI, une solution télématique et IOT qui accompagne les agriculteurs dans la gestion de leurs exploitations agricoles à travers une application web et mobile pour une visibilité claire sur le déroulement des opérations agricoles</span></p><p><span style=""font-size: 14px;"">GravitonGéo: solution de gestion intelligente de flotte et suivi de véhicule par GPS</span></p>",AGRI TECH;DEVELOPPEMENT INFORMATIQUE
EBTIKARWEB,Agadir,CLOUD;DATA;IA;TECHNOLOGIE WEB / MOBILE,www.ebtikarweb.com,+212 6 69 70 89 49,EL MOKHTAR AIT ADDI,contact@ebtikarweb.com,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0681v00000wbia3AAA,"<p><strong style=""font-size: 14px;"">EBTIKARWEB</strong><span style=""font-size: 14px;""> est une entreprise spécialisée dans le développement des logiciels de gestion sur mesure, la création des sites web vitrine/e-commerce et le marketing digital. </span></p><p><span style=""font-size: 14px;"">TPE, PME ou grand entreprise, EBTIKARWEB conçoit des systèmes d&#39;information clés en main à l&#39;image des attentes de leurs clients et les accompagne pour transformer leurs idées en réalité. </span></p>",DEVELOPPEMENT INFORMATIQUE
MZ LOUAFI,Casablanca,TECHNOLOGIE WEB / MOBILE,https://salutweb.com,+212645064545,EL MEHDI ZAKARIA LOUAFI,contact@mzlouafi.com,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0681v00000tVmdGAAS,"<p><strong>MZ LOUAFI</strong> est une Agence de ommunication digitale basée à Casablanca. Notre agence intervient sur plusieurs axes du webmarketing qui permet de disposer d’une stratégie donnant lieu à des résultats réels et mesurables. Nous favorisons la connexion humaine grâce à des stratégies perspicaces, une conception sophistiquée et des expériences numériques percutantes.</p>",DEVELOPPEMENT INFORMATIQUE
Zenika Technology,Casablanca,CLOUD;DATA;IA;IOT;TECHNOLOGIE WEB / MOBILE,https://zenika.com/,,Abdellah ZEROUAL,info-maroc@zenika.com,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0681v000010maBJAAY,"<p><span style=""font-size: 14px;"">Zenika est un cabinet de conseil IT de 550 personnes qui accompagne les entreprises dans leur transformation numérique.</span></p><p><span style=""font-size: 14px;"">Implantée en France, au Canada, à Singapour, et aujourd&#39;hui, au Maroc.</span></p><p><span style=""font-size: 14px;"">Lien entre le monde organique et le monde numérique, notre expertise commence par une interface et s&#39;achève au stockage de la donnée et son exploitation, en mode agile, devops, et sécurisé.</span></p><p><span style=""font-size: 14px;"">Partage, transparence et convivialité sont des valeurs qui portent Zenika, c&#39;est donc naturellement, que notre communauté s&#39;engage fortement dans l’open source et le numérique responsable.</span></p><p><br></p><p>https://www.linkedin.com/showcase/zenika-maroc</p><p>http://training.zenika.com/</p><p><span style=""font-size: 14px;"">https://jobs.zenika.com</span></p><p><span style=""font-size: 14px;"">https://oss.zenika.com</span></p>",DEVELOPPEMENT INFORMATIQUE;CYBERSECURITE;FORMATION IT
BIBORNE,Agadir,DATA;TECHNOLOGIE WEB / MOBILE,https://biborne.com/,,BENMOUSSA YASSER,yasser@biborne.com,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0681v00000ssKBlAAM,"<p>BIBORNE propose une solution innovante pour la digitalisation des prises de commandes au niveau des restaurants Fast Food et met en avant les produits suivants :</p><p>- La borne de commande BIBORNE : qui permet de réduire le temps d&#39;attente, facilite la prise de commande et augmente le panier moyen.</p><p>- Les caisses tactiles BIBORNE : qui permettent la gestion de la production en cuisine.</p><p>- La gestion des sorties et livraisons, l&#39;approvisionnement et la gestion des stocks.</p>",DEVELOPPEMENT INFORMATIQUE
ESSANET  MAROC,Casablanca,CLOUD;DATA,https://www.essanet.net/FR/,0669148474,ESSADEQ MUSTAPHA,essanet@essanet.net,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0681v0000121jjxAAA,"<p><span style=""font-family: Arial, sans-serif;"">La société ESSANET MAROC est une société spécialisée dans le développement et la commercialisation d’un logiciel de gestion (GESMAG) pour des entreprises de différentes tailles.</span></p><p><span style=""font-family: Arial, sans-serif;""> </span></p><p><span style=""font-family: Arial, sans-serif;"">GESMAG est un logiciel de gestion des entreprises : gestion commercial, gestion des mouvements de stock, gestion des clients, gestion des fournisseurs, gestion de la trésorerie, …</span></p><p><span style=""font-family: Arial, sans-serif;""> </span></p><p><span style=""font-family: Arial, sans-serif;"">La société propose également la réorganisation des différents services de gestion de l’entrepris, ainsi que la formation du personnel sur le logiciel.</span></p>",DEVELOPPEMENT INFORMATIQUE
Hisneo,Casablanca,CLOUD;DATA,hisneo.ma,0669084394,Yassine SALAH EDDINE,yassine_salah-eddine@hotmail.fr,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0681v000011AKtqAAG,<p>HISNEO : Pure Player de la cybersécurité.</p><p>Fondée en 2022 par deux experts en cybersécurité ayant plus de 20 ans d&#39;expérience.</p><p>Leur métier est d’accompagner leurs clients dans leurs efforts de <strong>protection</strong> des informations <strong>sensibles</strong> et des systèmes <strong>essentiels</strong> à leurs activités et à bâtir une <strong>confiance numérique </strong>solide tout en s’adaptant aux nouveaux usages et aux risques associés à la <strong>transformation numérique </strong>de la société. </p>,DEVELOPPEMENT INFORMATIQUE;CYBERSECURITE
GEOAP,Rabat,CLOUD;DATA;IA;IOT;TECHNOLOGIE WEB / MOBILE,https://www.geo-ap.com/,+212618142278,Yassine Hammoud,contact@geo-ap.com,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0681v00000vcyTEAAY,"<p>GEOAP est une entreprise spécialisée dans l&#39;intégration et le développement d&#39;applications géospatiales basées sur les dernières technologies spatiales (télédétection) et informatiques (Big Data, IA, Cloud Computing, BI, Web et Mobile). Quel que soit le type d&#39;activité que vous exercez (administratif ou marketing), le géospatial est le meilleur choix.</p><p>Nous vous offrons des conditions de collaboration professionnelles, animées par une équipe pluridisciplinaire de haut niveau, capable de répondre à tous vos besoins.</p>",DEVELOPPEMENT INFORMATIQUE
SG digital and service,Agadir,DATA;IOT,www.sgdigital.ma,06 61 04 61 68,Kamal Saghir,sg.digitalandservice@gmail.com,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0681v00000vdv3xAAA,<p><strong>SG DIGITAL &amp; SERVICE</strong> est un cabinet indépendant privé spécialisé dans la conception des solutions technologiques et la création des objets intelligents et connectés opérant dans plusieurs domaines d&#39;activité : Global GPS Service &amp; Transport management system /Ingénierie &amp; étude &amp; développement sur mesure / Gestion de carburant / Automatisme (industrie 4.0) &amp; sécurité industrielle.</p>,DEVELOPPEMENT INFORMATIQUE
Thinksoft solutions,Casablanca,CLOUD;DATA,https://thinksoft.ma/,0522 23 28 88,Mohamed Saidi,contact@thinksoft.ma,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0681v0000121jYrAAI,"<p>THINKSOFT SOLUTIONS est société de services en ingénierie informatique experte dans l’ingénierie des technologies de pointe et dans les solutions informatiques d’entreprise. Alliant performance et innovation, elle accompagne les entreprises privées et pbliques dans leur transformation numérique et dans la construction de leur stratégie digitale. </p><p>Spécialiste du développement spécifique et de l’intégration de solutions performantes, THINKSOFT SOLUTIONS répond aux enjeux fonctionnels et métier des clients via une offre compétitive multi-technologies et multi-plateformes. </p><p>Son métier consiste à concevoir et à mettre en œuvre des applications digitales sur mesure. Nos valeurs définissent notre entreprise. Notre démarche client et nos méthodes de travail ont contribué jusqu’à présent à notre succès et nous inscrivent dans une dynamique de progrès.</p>",DEVELOPPEMENT INFORMATIQUE
EGA SOLUTIONS SARL,Casablanca,CLOUD;DATA,http://easygocontract.com/,0675385866,Younès El Maslouhi,contact@easygocontract.com,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0681v00000xWjuLAAS,"<p>EGA Solutions est une jeune startup marocaine qui propose des solutions simples, efficaces et intuitives pour digitaliser la production et le suivi de contrats et actes juridiques. Notre Solution de Contract Management EasyGoContract offre des packs d’abonnement étudiés et adaptés à la taille et besoins de chaque client.</p>",DEVELOPPEMENT INFORMATIQUE;E-GOV
SOCIETE SILYA BUSINESS,Agadir,TECHNOLOGIE WEB / MOBILE,http://www.silyabusiness.com/,0661720124,Abdelmajid Abouali,silyabusiness@gmail.com,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0681v0000121eliAAA,"<p><strong>Société Silya Business</strong> fournit des solutions professionnelles de développement de logiciels, de conception Web, de conception graphique, de marketing Internet et d’optimisation des moteurs de recherche et autres prestations et services.</p>",DEVELOPPEMENT INFORMATIQUE
